CityName,Area,GreenAreaPerPers,Polycentricity,PopulationInCore,#Gov,#GovInCore,Population,Latitude,Longitude,GDP
Cleveland,1790.11,522.65,1,84.26,82,59,390113,41.4781,-81.6795,98246.54
Fukuyama,707.01,33.58,1,75.57,4,1,461368,34.489327,133.361432,19399.3
Stuttgart,1987.61,176.34,2,39.05,95,3,604297,48.7784931,9.1800456,108876.88
Baton Rouge,6438.7,802.96,1,66.82,25,3,229426,30.4485,-91.1259,37219.63
Geneva,1566.51,663.25,2,33.01,193,13,196150,46.198392,6.142296,43897.09
Tokushima,791.65,26.57,1,47.19,14,1,266370,34.074642,134.550764,18782.19
Tucson,23799.97,1.03,1,100.0,5,5,526116,32.1543,-110.8711,33460.13
Marseille,4230.79,46.6,1,86.75,132,64,850726,43.296482,5.36978,65518.12
Venice,1089.17,1.18,1,47.38,14,1,271073,45.440847,12.315515,20561.85
Mannheim,1949.78,84.1,1,39.67,115,3,296690,49.4895914,8.4672361,55013.87
Leicester,1099.2,298.01,1,72.08,4,2,330574,52.636878,-1.139759,20684.03
Utsunomiya,989.68,89.0,1,63.04,11,2,507833,36.55505,139.882809,28610.52
Kanazawa,1282.8,125.69,1,69.12,8,2,455595,36.561049,136.656574,26092.21
Vancouver,5063.57,98.6,1,94.09,44,36,167405,45.6372,-122.5965,93175.08
Grand Rapids,2258.97,2748.92,1,100.0,34,34,192294,42.9612,-85.6556,32145.36
Hamilton,2571.88,2782.48,1,85.8,6,1,150200,-37.787001,175.279253,24807.49
Houston,22488.43,591.59,1,89.26,109,44,2195914,29.7805,-95.3863,470838.44
Salt Lake City,27710.01,527.36,1,90.99,29,15,191180,40.7785,-111.9314,74115.86
Numazu,482.25,32.02,1,90.76,7,6,206818,35.096932,138.879132,19952.13
Akron,1087.89,1287.16,1,100.0,32,32,198100,41.0805,-81.5214,24969.01
Tulsa,18235.43,2087.61,1,63.15,79,12,398121,36.1279,-95.9023,50460.66
Lille,1453.1,40.62,2,82.39,179,87,227560,50.62925,3.057256,43117.69
Puebla,1343.51,108.4,1,74.55,11,2,1434062,19.103906,-98.188942,21824.61
Toyama,1563.38,331.23,1,77.69,7,1,421116,36.701226,137.21319,20171.58
Toronto,14412.81,1297.8,2,87.36,50,15,5132794,43.653226,-79.383184,271449.31
Montreal,10962.77,712.34,6,75.97,191,40,3407963,45.501689,-73.567256,149360.42
Las Vegas,67988.47,1.4,1,97.84,6,5,603488,36.2277,-115.264,87260.64
Tijuana,1252.14,1.08,1,100.0,1,1,1300983,32.522984,-117.112586,25482.88
Wichita,9428.96,40.12,1,84.9,129,46,386552,37.6907,-97.3427,28090.38
Edmonton,19808.01,4880.08,1,75.44,67,9,960015,53.544389,-113.490927,80875.7
Amsterdam,2819.84,207.16,4,69.76,57,9,801542,52.370216,4.895168,121289.27
Aachen,775.3,249.0,1,41.01,12,1,241683,50.776351,6.0838618,19496.51
Ljubljana,3145.03,922.61,1,48.02,28,1,279653,46.056947,14.505751,21567.4
Calgary,12478.49,1053.11,1,83.3,21,1,1095404,51.048615,-114.070846,88521.22
Hiroshima,1193.35,11.49,1,95.41,14,11,1163806,34.398205,132.475824,49350.84
Liverpool,556.66,60.74,1,79.16,4,2,469017,53.408371,-2.991573,29243.67
Columbia,3961.67,197.4,1,59.32,19,5,115276,38.9479,-92.3261,29581.28
Bonn,1066.66,115.29,1,48.44,31,2,311287,50.7358511,7.1006599,35903.52
Mexico City,5101.68,26.37,1,94.74,55,39,8851080,19.432608,-99.133208,410907.94
Grenoble,2694.43,1081.53,1,60.59,193,27,155637,45.188529,5.724524,22931.16
Nagoya,3943.23,7.46,1,82.96,81,51,2239464,35.136395,136.934833,255786.85
Paris,12089.37,88.93,5,79.18,1375,311,2243833,48.856614,2.352222,707134.27
Miami,14179.44,140.9,1,100.0,97,97,417650,25.7752,-80.2086,259444.03
Matsuyama,796.88,53.19,1,80.66,5,1,515068,33.829016,132.704079,19711.33
Gwangju,696.43,39.11,1,95.61,98,86,266444,37.417141,127.256141,36120.06
Tampico,2091.3,391.87,1,68.28,4,3,297284,22.305992,-97.860086,12305.13
Bologna,2036.1,183.8,1,48.62,32,1,371217,44.494887,11.342616,35961.39
Celaya,1160.47,277.39,1,78.11,3,1,340387,20.52164,-100.813602,7757.5
Rouen,2870.11,657.58,1,70.17,346,71,110933,49.443232,1.099971,23618.86
Karlsruhe,1323.91,220.19,1,42.9,62,1,299103,49.0140679,8.4044366,34567.91
Himeji,881.27,26.5,1,73.4,10,2,536170,34.824797,134.709449,21438.98
Denver,21794.38,4.64,1,97.94,39,28,649495,39.7618,-104.8806,162417.92
Lublin,3222.11,487.56,1,51.71,33,1,355953,51.246454,22.568446,13432.76
Oslo,7099.16,289.63,1,48.66,30,1,618683,59.913869,10.752245,75594.56
Brussels,3265.7,285.32,1,45.11,99,19,1006749,50.85034,4.35171,134939.93
Porto,951.54,66.33,1,81.41,150,90,242883,41.157944,-8.629105,30922.79
Edinburgh,1279.59,204.42,1,67.71,5,1,448624,55.953252,-3.188267,34233.4
Portland,17657.21,408.76,1,76.21,58,25,609456,45.537,-122.65,151201.99
Kochi,985.06,24.65,1,66.69,8,1,601574,9.931233,76.267304,12904.46
Linz,3523.72,1691.99,1,31.36,140,1,188968,48.30694,14.28583,28421.62
Hanover,3090.73,562.78,1,41.66,55,1,518386,52.3744779,9.7385532,55135.63
Helsinki,6350.71,77.38,1,69.5,22,4,614074,60.173324,24.941025,75980.68
Strasbourg,2030.87,352.98,1,61.07,250,28,271782,48.573405,7.752111,27757.48
Okayama,1096.05,83.82,1,78.89,8,1,701293,34.666369,133.918588,29519.45
Jacksonville,8871.53,149.69,1,76.86,14,5,842583,30.337,-81.6613,57881.48
Budapest,6056.87,412.23,1,58.79,183,1,1740041,47.497912,19.040235,102939.82
Reynosa,4686.45,32.92,1,85.03,2,1,589466,26.098218,-98.285327,12307.37
Los Angeles,83682.18,5.09,1,100.0,169,169,3884307,34.0194,-118.4108,891793.72
Cuernavaca,947.07,175.49,1,85.35,7,4,338650,18.858841,-99.222601,10553.63
Nottingham,1110.74,259.9,1,75.82,5,2,249584,52.954783,-1.158109,26303.16
Sheffield,1109.88,260.12,1,91.28,4,2,439866,53.381129,-1.470085,24605.44
Bradford,443.63,142.37,1,95.51,3,1,293717,53.795984,-1.759398,14162.31
Cincinnati,10779.42,2905.16,1,92.51,216,63,297517,39.1399,-84.5064,110806.12
Nashville,9094.09,4034.75,1,48.99,40,7,634464,36.1718,-86.785,77671.32
Bilbao,1141.01,207.5,2,52.6,57,3,353950,43.263013,-2.934985,38248.5
Fresno,21162.1,75.96,1,85.81,17,15,509924,36.7827,-119.7945,37762.48
Hamburg,5760.18,914.18,1,57.15,308,1,1746342,53.5437641,10.0099133,158074.25
Naples,1558.57,12.92,2,86.98,116,81,1004500,40.851775,14.268124,77675.14
Essen,344.67,42.28,1,90.23,3,2,569884,51.4572062,7.0114963,28890.67
Maebashi,1188.35,38.27,1,64.19,19,4,318058,36.383191,139.073177,34246.31
Changwon,166.53,1.76,1,100.0,40,38,1091733,35.270833,128.663056,24974.83
Kurashiki,530.72,20.15,1,82.95,5,1,472452,34.602065,133.765676,19578.35
Manchester,1435.01,134.97,1,89.1,10,6,110378,42.9847,-71.4439,68331.56
Atlanta,9796.08,98.04,1,35.04,67,18,447841,33.7629,-84.4227,263711.72
Bordeaux,5485.85,1258.52,1,62.57,243,27,239157,44.837789,-0.57918,42193.65
Busan,724.77,9.13,2,94.08,218,205,3548640,35.179554,129.075642,80056.84
Catania,609.35,35.05,1,45.71,21,1,313110,37.507877,15.08303,13419.08
Munich,6263.09,539.85,1,48.55,212,1,1407836,48.1372719,11.5754815,184700.85
Stockholm,7106.87,114.66,3,74.38,28,12,1372565,59.329323,18.068581,124384.82
Daegu,1113.43,32.38,1,94.01,155,143,2508563,35.871435,128.601445,58349.07
Rome,5686.46,224.78,1,63.59,147,1,2777979,41.902784,12.496366,189919.29
Lisbon,3988.31,63.58,2,83.71,235,157,508209,38.722252,-9.139337,100538.06
Copenhagen,4083.69,376.18,1,60.23,57,17,1230728,55.676097,12.568337,98431.89
