,0,1
572,1,1
573,1,1
574,0,0
575,2,2
576,7,7
577,9,9
578,8,8
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,2
586,0,0
587,0,0
588,0,0
589,1,1
590,0,0
591,9,9
592,0,0
593,0,0
594,0,0
595,8,8
596,1,1
597,0,0
598,0,0
599,3,3
600,2,2
601,1,1
602,3,3
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,1,0
610,1,1
611,2,2
612,3,3
613,3,3
614,0,0
615,0,0
616,0,0
617,2,2
618,0,0
619,2,2
620,0,0
621,0,0
622,0,0
623,1,1
624,0,0
625,0,0
626,2,2
627,1,0
628,0,1
629,0,0
630,2,2
631,1,1
632,0,7
633,0,0
634,1,1
635,1,1
636,0,0
637,6,6
638,9,9
639,0,0
640,1,4
641,0,0
642,0,0
643,0,0
644,1,1
645,5,5
646,2,2
647,1,1
648,2,2
649,1,1
650,0,0
651,0,0
652,0,0
653,7,7
654,0,0
655,1,1
656,1,1
657,1,1
658,0,0
659,5,5
660,9,9
661,0,1
662,3,3
663,0,0
664,0,0
665,0,0
666,0,0
667,1,1
668,0,0
669,1,1
670,1,1
671,0,0
672,0,0
673,6,6
674,1,1
675,1,1
676,0,3
677,0,0
678,2,2
679,0,0
680,1,1
681,8,8
682,1,1
683,1,1
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,5,5
690,0,0
691,0,0
692,0,0
693,1,1
694,0,0
695,0,0
696,1,1
697,0,0
698,0,0
699,0,0
700,0,0
701,1,0
702,1,1
703,0,0
704,1,1
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,1,3
711,0,0
712,2,2
713,0,0
714,0,0
715,1,1
716,0,0
717,0,0
718,0,0
719,1,1
720,5,3
721,0,0
722,9,9
723,0,0
724,1,1
725,1,1
726,3,3
727,1,1
728,1,1
729,1,1
730,1,1
731,0,0
732,1,1
733,0,0
734,0,0
735,1,1
736,0,0
737,1,0
738,8,8
739,2,2
740,0,0
741,1,1
742,0,0
743,0,0
744,2,2
745,1,1
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,1,1
752,0,0
753,1,1
754,0,0
755,2,2
756,1,1
757,0,0
758,1,0
759,0,0
760,4,4
761,2,2
762,0,3
763,0,0
764,0,0
765,2,2
766,0,3
767,0,0
768,0,0
769,1,1
770,3,3
771,6,6
772,0,0
773,1,1
774,1,1
775,0,0
776,9,9
777,0,0
778,1,2
779,4,4
780,0,0
781,0,0
782,0,1
783,0,0
784,1,1
785,0,0
786,0,0
787,2,2
788,1,1
789,9,9
790,1,1
791,1,1
792,1,1
793,0,0
794,0,0
795,3,3
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,2,2
804,0,0
805,0,0
806,1,1
807,0,0
808,6,6
809,0,0
810,1,1
811,6,6
812,0,0
813,2,2
814,1,1
815,0,0
816,0,0
817,1,1
818,2,2
819,0,0
820,0,0
821,5,5
822,0,1
823,0,0
824,1,1
825,1,1
826,9,9
827,0,0
828,0,0
829,0,0
830,0,1
831,5,5
832,1,3
833,0,0
834,0,0
835,0,0
836,2,2
837,0,0
838,0,0
839,5,5
840,3,3
841,0,0
842,1,1
843,0,0
844,1,1
845,0,0
846,1,1
847,0,0
848,0,1
849,0,0
850,1,1
851,0,1
